"StudentId","HasAccess"
"000000001","1"
"000000002","1"
"000000003","1"
"000000004","1"
"000000005","1"
"000000006","1"
"000000007","1"
"000000008","1"
"000000009","1"
"000000010","1"
"000000011","1"
"000000012","1"
"000000013","1"
"000000014","1"
"000000015","1"
"000000016","1"
"000000017","1"
"000000018","1"
"000000019","1"
"000000020","1"
"000000021","1"
"000000022","1"
"000000023","1"
"000000024","1"
"000000025","1"
"000000026","1"
"000000027","1"
"000000028","1"
"000000029","1"
"000000030","1"
"000000031","1"
"000000032","1"
"000000033","1"
"000000034","1"
"000000035","1"
"000000036","1"
"000000037","1"
"000000038","1"
"000000039","1"
"000000040","1"
"000000041","1"
"000000042","1"
"000000043","1"
"000000044","1"
"000000045","1"
"000000046","1"
"000000047","1"
"000000048","1"
"000000049","1"
"000000050","1"
"000000051","1"
"000000052","1"
"000000053","1"
"000000054","1"
"000000055","1"
"000000056","1"
"000000057","1"
"000000058","1"
"000000059","1"
"000000060","1"
"000000061","1"
"000000062","1"
"000000063","1"
"000000064","1"
"000000065","1"
"000000066","1"
"000000067","1"
"000000068","1"
"000000069","1"
"000000070","1"
"000000071","1"
"000000072","1"
"000000073","1"
"000000074","1"
"000000075","1"
"000000076","1"
"000000077","1"
"000000078","1"
"000000079","1"
"000000080","1"
"000000081","1"
"000000082","1"
"000000083","1"
"000000084","1"
"000000085","1"
"000000086","1"
"000000087","1"
"000000088","1"
"000000089","1"
"000000090","1"
"000000091","1"
"000000092","1"
"000000093","1"
"000000094","1"
"000000095","1"
"000000096","1"
"000000097","1"
"000000098","1"
"000000099","1"
"000000100","1"
"000000101","1"
"000000102","1"
"000000103","1"
"000000104","1"
"000000105","1"
"000000106","1"
"000000107","1"
"000000108","1"
"000000109","1"
"000000110","1"
"000000111","1"
"000000112","1"
"000000113","1"
"000000114","1"
"000000115","1"
"000000116","1"
"000000117","1"
"000000118","1"
"000000119","1"
"000000120","1"
"000000121","1"
"000000122","1"
"000000123","1"
"000000124","1"
"000000125","1"
"000000126","1"
"000000127","1"
"000000128","1"
"000000129","1"
"000000130","1"
"000000131","1"
"000000132","1"
"000000133","1"
"000000134","1"
"000000135","1"
"000000136","1"
"000000137","1"
"000000138","1"
"000000139","1"
"000000140","1"
"000000141","1"
"000000142","1"
"000000143","1"
"000000144","1"
"000000145","1"
"000000146","1"
"000000147","1"
"000000148","1"
"000000149","1"
"000000150","1"
"000000151","1"
"000000152","1"
"000000153","1"
"000000154","1"
"000000155","1"
"000000156","1"
"000000157","1"
"000000158","1"
"000000159","1"
"000000160","1"
"000000161","1"
"000000162","1"
"000000163","1"
"000000164","1"
"000000165","1"
"000000166","1"
"000000167","1"
"000000168","1"
"000000169","1"
"000000170","1"
"000000171","1"
"000000172","1"
"000000173","1"
"000000174","1"
"000000175","1"
"000000176","1"
"000000177","1"
"000000178","1"
"000000179","1"
"000000180","1"
"000000181","1"
"000000182","1"
"000000183","1"
"000000184","1"
"000000185","1"
"000000186","1"
"000000187","1"
"000000188","1"
"000000189","1"
"000000190","1"
"000000191","1"
"000000192","1"
"000000193","1"
"000000194","1"
"000000195","1"
"000000196","1"
"000000197","1"
"000000198","1"
"000000199","1"
"000000200","1"
"000000201","1"
"000000202","1"
"000000203","1"
"000000204","1"
"000000205","1"
"000000206","1"
"000000207","1"
"000000208","1"
"000000209","1"
"000000210","1"
"000000211","1"
"000000212","1"
"000000213","1"
"000000214","1"
"000000215","1"
"000000216","1"
"000000217","1"
"000000218","1"
"000000219","1"
"000000220","1"
"000000221","1"
"000000222","1"
"000000223","1"
"000000224","1"
"000000225","1"
"000000226","1"
"000000227","1"
"000000228","1"
"000000229","1"
"000000230","1"
"000000231","1"
"000000232","1"
"000000233","1"
"000000234","1"
"000000235","1"
"000000236","1"
"000000237","1"
"000000238","1"
"000000239","1"
"000000240","1"
"000000241","1"
"000000242","1"
"000000243","1"
"000000244","1"
"000000245","1"
"000000246","1"
"000000247","1"
"000000248","1"
"000000249","1"
"000000250","1"
"000000251","1"
"000000252","1"
"000000253","1"
"000000254","1"
"000000255","1"
"000000256","1"
"000000257","1"
"000000258","1"
"000000259","1"
"000000260","1"
"000000261","1"
"000000262","1"
"000000263","1"
"000000264","1"
"000000265","1"
"000000266","1"
"000000267","1"
"000000268","1"
"000000269","1"
"000000270","1"
"000000271","1"
"000000272","1"
"000000273","1"
"000000274","1"
"000000275","1"
"000000276","1"
"000000277","1"
"000000278","1"
"000000279","1"
"000000280","1"
"000000281","1"
"000000282","1"
"000000283","1"
"000000284","1"
"000000285","1"
"000000286","1"
"000000287","1"
"000000288","1"
"000000289","1"
"000000290","1"
"000000291","1"
"000000292","1"
"000000293","1"
"000000294","1"
"000000295","1"
"000000296","1"
"000000297","1"
"000000298","1"
"000000299","1"
"000000300","1"
"000000301","1"
"000000302","1"
"000000303","1"
"000000304","1"
"000000305","1"
"000000306","1"
"000000307","1"
